CODE_PEITSCH,CLUSTER,HYDROPHOBIC_SCORE,SIZE,SSR,COUNT,NORM_DOMAIN,NORM_SEGMENT
219,11011011,9,8,e,103,1.7038,1.5269
143,10001111,11,8,E,103,1.7012,1.5209
301,100101101,6,9,E,101,1.8582,1.7871
561,1000110001,5,10,h,100,1.6542,1.5811
345,101011001,6,9,e,99,1.8686,1.6589
657,1010010001,4,10,h,97,1.7489,1.5527
411,110011011,9,9,H,96,1.6001,1.7697
361,101101001,6,9,E,94,1.7737,1.8069
613,1001100101,6,10,H,94,1.8261,1.6
295,100100111,8,9,e,94,1.6584,1.7785
435,110110011,9,9,H,93,1.5956,1.5517
563,1000110011,7,10,H,93,1.8622,1.6844
339,101010011,6,9,h,92,1.6947,1.5596
123,1111011,13,7,E,92,1.5722,1.5528
309,100110101,6,9,e,90,1.7948,1.8011
419,110100011,7,9,h,89,1.6013,1.6094
119,1110111,12,7,e,89,1.7326,1.7112
397,110001101,7,9,h,88,1.5535,1.4204
785,1100010001,5,10,h,88,1.7952,1.4934
299,100101011,6,9,e,88,1.7701,1.6582
585,1001001001,4,10,h,87,1.8148,1.652
313,100111001,8,9,e,86,1.9523,1.6888
333,101001101,6,9,e,86,1.7739,1.6375
1161,10010001001,4,11,H,86,1.6518,1.4541
1225,10011001001,6,11,H,85,1.9511,1.7279
355,101100011,7,9,e,85,1.7459,1.6188
549,1000100101,4,10,h,85,1.6895,1.7548
125,1111101,16,7,E,82,1.5502,1.4847
111,1101111,13,7,E,82,1.5774,1.4659
659,1010010011,6,10,h,82,2.0327,1.7013
243,11110011,13,8,E,79,1.5868,1.6307
787,1100010011,7,10,H,78,1.592,1.4369
405,110010101,6,9,e,78,1.6937,1.6862
547,1000100011,5,10,h,78,1.6268,1.6149
1169,10010010001,4,11,H,77,1.74,1.6132
95,1011111,16,7,E,77,1.5318,1.4017
421,110100101,6,9,e,77,1.6983,1.5181
817,1100110001,7,10,H,76,1.7423,1.5597
665,1010011001,6,10,H,76,1.6915,1.5203
425,110101001,6,9,E,75,1.6769,1.5574
331,101001011,6,9,e,75,1.5308,1.3789
1177,10010011001,6,11,H,75,1.5444,1.5361
207,11001111,13,8,e,75,1.7715,1.6869
357,101100101,6,9,h,74,1.5146,1.3302
187,10111011,10,8,E,74,1.5883,1.4453
237,11101101,10,8,E,74,1.6539,1.6549
465,111010001,8,9,E,74,1.6796,1.4595
2193,100010010001,4,12,H,72,1.7859,1.5514
341,101010101,5,9,E,72,1.6862,1.5749
589,1001001101,6,10,h,71,1.7226,1.6301
649,1010001001,4,10,h,71,1.7214,1.4903
369,101110001,8,9,E,70,1.6667,1.6233
453,111000101,8,9,E,70,1.6379,1.496
593,1001010001,4,10,e,70,1.6387,1.4586
249,11111001,16,8,E,69,1.5823,1.5234
473,111011001,10,9,h,69,1.4398,1.4868
2449,100110010001,6,12,H,69,1.8488,1.6475
805,1100100101,6,10,h,69,1.7275,1.4947
793,1100011001,7,10,h,68,1.6288,1.4373
1097,10001001001,4,11,H,66,1.5116,1.3868
677,1010100101,5,10,E,65,1.8681,1.6073
235,11101011,10,8,E,65,1.6302,1.4885
315,100111011,10,9,h,65,1.5853,1.5848
553,1000101001,4,10,e,64,1.8801,1.5669
189,10111101,12,8,E,63,1.4072,1.4034
183,10110111,10,8,e,63,1.4531,1.5493
327,101000111,8,9,e,62,1.7603,1.4316
441,110111001,10,9,H,62,1.735,1.4989
285,100011101,8,9,E,62,1.5302,1.398
215,11010111,10,8,E,61,1.5447,1.5208
713,1011001001,6,10,h,60,1.7817,1.5793
681,1010101001,5,10,e,60,1.5785,1.4562
661,1010010101,5,10,e,59,1.4285,1.3585
413,110011101,10,9,e,59,1.7463,1.5682
583,1001000111,8,10,m,58,1.8368,1.6671
175,10101111,12,8,E,58,1.5149,1.4875
2201,100010011001,6,12,H,57,1.6061,1.3682
371,101110011,10,9,h,57,2.1195,2.1118
569,1000111001,8,10,m,57,1.5398,1.3971
221,11011101,10,8,e,57,1.4636,1.3216
1093,10001000101,4,11,e,56,1.5756,1.3227
913,1110010001,8,10,h,56,1.7491,1.5168
231,11100111,12,8,E,56,1.7343,1.4923
245,11110101,12,8,E,56,1.5671,1.5591
483,111100011,13,9,e,55,1.4932,1.4029
837,1101000101,6,10,e,55,1.5128,1.3297
611,1001100011,7,10,h,55,1.6242,1.5571
1425,10110010001,6,11,H,54,1.5096,1.666
467,111010011,10,9,h,54,1.4061,1.3699
2321,100100010001,4,12,H,53,1.7315,1.441
617,1001101001,6,10,h,52,1.4405,1.4209
689,1010110001,6,10,e,52,1.7627,1.7065
311,100110111,10,9,H,52,1.7017,1.5072
803,1100100011,7,10,h,51,1.5697,1.4652
809,1100101001,6,10,e,51,1.5645,1.415
849,1101010001,6,10,E,51,1.4529,1.3782
625,1001110001,8,10,e,51,1.6072,1.4253
789,1100010101,6,10,e,51,1.4473,1.3585
841,1101001001,6,10,m,51,1.5441,1.3798
